filename	category	featured_order	title	description	techniques
g-bernoulli.bas	Showcase animations and retro effects		Radial Curve	Animated five-lobed radial point curve.	PLOT;ORIGIN;FRAME
g-bernoulli2.bas	Showcase animations and retro effects		Living Radial Curve	Time-varying radial lobes with cycling colors.	PLOT;trigonometry;FRAME
g-bigbang.bas	Showcase animations and retro effects	4	Big Bang	Thousands of pixels explode into particles and reassemble as a second image.	BLOAD;TEST;particle morphing
g-bobs.bas	Showcase animations and retro effects		Orbiting Bobs	Six depth-sorted circles orbit in simulated 3D.	3D projection;depth sorting;FCIRCLE
g-cooperative.bas	Showcase animations and retro effects		Cooperative Simulation	Two animations redraw sequentially on each timer pulse.	EVERY;ORIGIN;sequential redraw
g-dot-tunnel.bas	Showcase animations and retro effects	9	Twisting Dot Tunnel	Twisting 3D dot tunnel with star backdrop.	3D projection;procedural animation;FRAME
g-jelly.bas	Showcase animations and retro effects	13	Jelly	Ten thousand points fold into a living neon form.	parametric plotting;offscreen rendering;FRAME
g-old-school.bas	Showcase animations and retro effects	1	Old-School Demo	A complete demoscene postcard: 3D starfield, copper bars and a hand-built sine scroller.	3D starfield;SPRITE$;sine scroller
g-roulette.bas	Showcase animations and retro effects		Color Roulette	Rotating colored circle sectors create a pinwheel.	FCIRCLE;animation;DEG
g-scroll.bas	Showcase animations and retro effects		Diagonal Text Scroll	Diagonal rotating-text scroll with offscreen redraw.	LDIR;LABEL;offscreen rendering
g-sine-scroll.bas	Showcase animations and retro effects		Sine Scroller	Hand-built bitmap font bends through a sine wave.	SPRITE$;TEST;bitmap font
g-starfield.bas	Showcase animations and retro effects		3D Starfield	Two thousand depth-recycled stars flow through 3D.	3D projection;depth recycling;FRAME
g-sunflower.bas	Showcase animations and retro effects		Sunflower	Animated phyllotaxis spiral with hue cycling.	phyllotaxis;custom RGB;FRAME
g-tunnel-tquad.bas	Showcase animations and retro effects	19	Textured Tunnel	A seamless textured tunnel turns a ring mesh into a fluid animated ride.	TQUAD;mesh generation;texture animation
g-tunnel.bas	Showcase animations and retro effects		BASIC Texture Tunnel	BASIC texture lookup creates a block-rendered tunnel.	BLOAD;TEST;texture mapping
g-zoomer-tquad.bas	Showcase animations and retro effects		Textured Zoomer	One textured quad produces rotating zoom feedback.	TQUAD;rotation;zoom
g-zoomer.bas	Showcase animations and retro effects	5	BASIC Zoomer	Block-sampled texture mapping powers a retro zoomer.	BLOAD;TEST;block rendering
g-arkanoid.bas	Games, applications, and algorithmic scenes	3	AVL Arkanoid	A genuinely playable brick-breaker—and a collision-engine masterclass.	sprite collisions;color collisions;mouse input
g-chess960.bas	Games, applications, and algorithmic scenes	11	Chess960 Generator	Generate legal Chess960 back ranks, rendered with real pieces and one-key rerolls.	DEF SUB;constrained randomization;sprites
g-loan.bas	Games, applications, and algorithmic scenes	18	Graphical Loan Calculator	Graphical loan calculator with optional amortization table.	GINPUT;DEF FN;formatted output
g-maze.bas	Games, applications, and algorithmic scenes	12	Maze Generator	A fresh maze appears with its solution stitched through it in a dashed path.	DFS/Prim;bit masks;path reconstruction
g-random.bas	Games, applications, and algorithmic scenes		Random Walk	Random walk runs until it reaches the border.	RND;DRAW;boundary detection
g-cube.bas	3D, lighting, and texture mapping		Rotating Cube	Filled rotating cube with hidden-face removal.	3D projection;back-face culling;FTRIANGLE
g-cube2.bas	3D, lighting, and texture mapping		Orbiting Cubes	Two depth-sorted cubes orbit in opposite phases.	3D projection;depth sorting;FTRIANGLE
g-cube3.bas	3D, lighting, and texture mapping		Flood-Filled Cube	Rotating cube fills outlined faces using flood fill.	3D projection;DRAW;FILL
g-cube-tquad.bas	3D, lighting, and texture mapping	6	Textured Cube	A spinning textured cube built from projection math and affine quads.	3D projection;back-face culling;TQUAD
g-demo.bas	3D, lighting, and texture mapping		Cube and Scroll Demo	Filled rotating cube behind a diagonal text scroll.	3D projection;FTRIANGLE;LDIR
g-gouraud.bas	3D, lighting, and texture mapping	7	Gouraud Surface	A mathematical surface rendered with a software Z-buffer and per-vertex lighting.	Z-buffer;barycentric rasterization;vertex lighting
g-lambert.bas	3D, lighting, and texture mapping		Lambert Surface	Painter-sorted surface uses flat Lambert lighting.	painter's algorithm;Lambert shading;quicksort
g-origin.bas	3D, lighting, and texture mapping	8	Bouncing Viewport Cube	Rotating cube moves inside a bouncing viewport.	ORIGIN;3D projection;viewport animation
g-raytracer.bas	3D, lighting, and texture mapping	2	Ray Tracer	A 640×480 glass-and-mirrors scene ray-traced entirely in BASIC.	ray tracing;Fresnel;reflection and refraction
g-sphere.bas	3D, lighting, and texture mapping		Parametric Sphere	Parametric line sweep sketches a colored sphere.	parametric plotting;SCALE;DRAW
g-chords.bas	Fractals, curves, and procedural geometry		Circle Chords	Complete chord graph drawn around a circle.	polar coordinates;DRAW;FRAME
g-fdragon.bas	Fractals, curves, and procedural geometry		Dragon Curve	Dragon curve drawn with simulated recursive calls.	simulated recursion;DRAWR;arrays
g-fhilbert.bas	Fractals, curves, and procedural geometry		Hilbert Curve	Hilbert curve generated from an expanded L-system.	L-system;string rewriting;DRAWR
g-flevy.bas	Fractals, curves, and procedural geometry		Lévy Curve State Machine	Lévy curve uses an explicit recursion state machine.	recursion state machine;arrays;DRAW
g-flevy2.bas	Fractals, curves, and procedural geometry		Iterative Lévy C Curve	Iterative L-system draws a Lévy C curve.	L-system;string expansion;DRAWR
g-fmandelbrot.bas	Fractals, curves, and procedural geometry	10	Mandelbrot Explorer	Click into the Mandelbrot set and dive deeper with every redraw.	complex iteration;mouse zoom;SCALE
g-fsierpinski.bas	Fractals, curves, and procedural geometry		Sierpiński Triangle	Recursive Sierpiński triangle drawn through shrinking steps.	recursion;trigonometry;DRAW
g-fsnow.bas	Fractals, curves, and procedural geometry		Koch Snowflake	Koch snowflake generated by iterative L-system expansion.	L-system;string expansion;DRAWR
g-ftree.bas	Fractals, curves, and procedural geometry		Binary Tree	Monochrome binary tree simulates recursion with arrays.	simulated recursion;arrays;FRAME
g-ftree2.bas	Fractals, curves, and procedural geometry		Organic Tree	Organic branching tree adds depth-based width and color.	simulated recursion;line width;color gradient
g-ftree3.bas	Fractals, curves, and procedural geometry		Gradient Tree	Three-stage color gradient enriches the recursive tree.	simulated recursion;multi-stage color;line width
g-ftree4.bas	Fractals, curves, and procedural geometry	15	Animated Tree	Animated swaying tree redraws recursive branches each frame.	simulated recursion;EVERY;offscreen rendering
g-parametric.bas	Fractals, curves, and procedural geometry		Parametric Curve	Rainbow multi-frequency curve uses custom color functions.	DEF FN;parametric plotting;RGB
g-parametric2.bas	Fractals, curves, and procedural geometry		Lissajous 3:4	Rainbow Lissajous curve traces a three-by-four ratio.	DEF FN;Lissajous curve;RGB
g-parametric3.bas	Fractals, curves, and procedural geometry		Lissajous 12:11	Dense rainbow Lissajous curve uses adjacent frequencies.	DEF FN;Lissajous curve;RGB
g-axis.bas	Plotting, charts, and mathematical visualization		Shifted Axes	Minimal shifted-axis example using SCALE and CROSSAT.	SCALE;CROSSAT;XAXIS and YAXIS
g-bifurcation.bas	Plotting, charts, and mathematical visualization	17	Bifurcation Explorer	Explore chaos by clicking into a rainbow logistic-map bifurcation diagram.	logistic map;Lyapunov exponent;mouse zoom
g-function.bas	Plotting, charts, and mathematical visualization		Sine Plot	Plots sine from a string expression with axes.	GRAPH;string expression;axes
g-function2.bas	Plotting, charts, and mathematical visualization		Tangent Plot	Plots tangent directly across multiple discontinuities.	GRAPH;discontinuities;SCALE
g-function2b.bas	Plotting, charts, and mathematical visualization		Manual Tangent Plot	Manually plots tangent while skipping discontinuity jumps.	DEF FN;error handling;discontinuity filtering
g-function3.bas	Plotting, charts, and mathematical visualization		Reciprocal Branch	Plots one reciprocal branch on a negative domain.	GRAPH;SCALE;axes
g-function4.bas	Plotting, charts, and mathematical visualization		Nested Function Detail	Plots a complex nested expression with highlighted subrange.	GRAPH;GRAPHRANGE;MASK
g-function5.bas	Plotting, charts, and mathematical visualization		Sinc Plot	Plots sinc with sampled stems and labeled axes.	DEF FN;GRAPH;sample stems
g-function6.bas	Plotting, charts, and mathematical visualization		Composite Function	Plots a composite trigonometric-exponential string expression.	GRAPH;string expression;SCALE
g-function7.bas	Plotting, charts, and mathematical visualization		Large Polynomial	Plots an enormous polynomial with exponential tick labels.	DEF FN;exponential labels;axes
g-origin-scale.bas	Plotting, charts, and mathematical visualization	16	Four-Panel Plot Gallery	Four independent mathematical canvases share one screen: plots, data, axes and fractals.	DEF SUB;ORIGIN and SCALE;GRAPHRANGE
g-regression.bas	Plotting, charts, and mathematical visualization		Linear Regression	Fits and plots a linear regression from DATA.	least squares;DATA;GRAPH
g-scale.bas	Plotting, charts, and mathematical visualization		Axis Label Placement	Demonstrates axis-label placement on a data scale.	SCALE;CROSSAT;axis labels
g-scale2.bas	Plotting, charts, and mathematical visualization		Polar Cardioid	Draws a labeled cardioid in polar coordinates.	polar coordinates;SCALE;DRAW
g-scale3.bas	Plotting, charts, and mathematical visualization		Olympic Times Chart	Charts historical Olympic freestyle times by sex.	DATA;SCALE;custom markers
g-scale4.bas	Plotting, charts, and mathematical visualization		Diagonal Axis Grid	Repeats zero-tick axes along a diagonal grid.	CROSSAT;XAXIS;YAXIS
g-scale5.bas	Plotting, charts, and mathematical visualization		Clipped Reciprocal Plot	Clips a reciprocal graph to one custom range.	GRAPHRANGE;GRAPH;SCALE
g-scale6.bas	Plotting, charts, and mathematical visualization		Masked Reciprocal Ranges	Overlays masked reciprocal plots across two ranges.	GRAPHRANGE;MASK;GRAPH
g-scale7.bas	Plotting, charts, and mathematical visualization		Aspect-Ratio Circles	Shows aspect-ratio effects on two nominal circles.	SCALE;CIRCLE;aspect ratio
g-scale8.bas	Plotting, charts, and mathematical visualization		Data Bar Chart	Builds a DATA-driven bar chart with scaled axes.	DATA;RECTANGLE;scaled axes
